method,round,labels,avg_acc,acc_tuple,top_k
passive_random,94,1136,0.7983138780804152,"[0.8015564202334631, 0.7937743190661478, 0.7996108949416343]",2
passive_random,95,1146,0.8015564202334632,"[0.7898832684824902, 0.8035019455252919, 0.811284046692607]",2
passive_random,96,1156,0.788586251621271,"[0.7821011673151751, 0.7859922178988327, 0.7976653696498055]",2
passive_random,97,1166,0.7983138780804152,"[0.7976653696498055, 0.7937743190661478, 0.8035019455252919]",2
passive_random,98,1176,0.8022049286640728,"[0.7996108949416343, 0.791828793774319, 0.8151750972762646]",2
passive_random,99,1186,0.797016861219196,"[0.7976653696498055, 0.7840466926070039, 0.8093385214007782]",2
passive_random,100,1196,0.8009079118028536,"[0.8015564202334631, 0.7976653696498055, 0.8035019455252919]",2
passive_ordered,1,205,0.44422827496757455,"[0.44357976653696496, 0.4474708171206226, 0.44163424124513617]",2
passive_ordered,2,215,0.44552529182879375,"[0.44357976653696496, 0.4396887159533074, 0.45330739299610895]",2
passive_ordered,3,225,0.45525291828793774,"[0.45330739299610895, 0.45525291828793774, 0.4571984435797665]",2
passive_ordered,4,235,0.45330739299610895,"[0.45330739299610895, 0.45330739299610895, 0.45330739299610895]",2
passive_ordered,5,245,0.45460440985732814,"[0.45525291828793774, 0.45525291828793774, 0.45330739299610895]",2
passive_ordered,6,255,0.46692607003891046,"[0.4669260700389105, 0.4669260700389105, 0.4669260700389105]",2
passive_ordered,7,265,0.5103761348897535,"[0.5077821011673151, 0.5097276264591439, 0.5136186770428015]",2
passive_ordered,8,275,0.5265888456549935,"[0.5311284046692607, 0.519455252918288, 0.5291828793774319]",2
passive_ordered,9,285,0.5324254215304799,"[0.519455252918288, 0.5330739299610895, 0.5447470817120622]",2
passive_ordered,10,295,0.5525291828793775,"[0.5544747081712063, 0.5486381322957199, 0.5544747081712063]",2
passive_ordered,11,305,0.5505836575875487,"[0.5505836575875487, 0.5525291828793775, 0.5486381322957199]",2
passive_ordered,12,315,0.5804150453955902,"[0.5797665369649806, 0.585603112840467, 0.5758754863813229]",2
passive_ordered,13,325,0.5830090791180286,"[0.5778210116731517, 0.5875486381322957, 0.5836575875486382]",2
passive_ordered,14,335,0.5933852140077821,"[0.5992217898832685, 0.5875486381322957, 0.5933852140077821]",2
passive_ordered,15,345,0.5920881971465629,"[0.5933852140077821, 0.5875486381322957, 0.5953307392996109]",2
passive_ordered,16,355,0.5933852140077821,"[0.5953307392996109, 0.5972762645914397, 0.5875486381322957]",2
passive_ordered,17,365,0.6076523994811933,"[0.6128404669260701, 0.6070038910505836, 0.603112840466926]",2
passive_ordered,18,375,0.6083009079118029,"[0.6167315175097277, 0.6089494163424124, 0.5992217898832685]",2
passive_ordered,19,385,0.5998702983138781,"[0.6089494163424124, 0.6011673151750972, 0.5894941634241245]",2
passive_ordered,20,395,0.6057068741893645,"[0.5972762645914397, 0.6206225680933852, 0.5992217898832685]",2
passive_ordered,21,405,0.6070038910505837,"[0.6050583657587548, 0.6186770428015564, 0.5972762645914397]",2
passive_ordered,22,415,0.5979247730220493,"[0.6011673151750972, 0.5972762645914397, 0.5953307392996109]",2
passive_ordered,23,425,0.6076523994811933,"[0.6108949416342413, 0.6070038910505836, 0.6050583657587548]",2
passive_ordered,24,435,0.6128404669260701,"[0.6050583657587548, 0.622568093385214, 0.6108949416342413]",2
passive_ordered,25,445,0.6134889753566797,"[0.6108949416342413, 0.6186770428015564, 0.6108949416342413]",2
passive_ordered,26,455,0.62905317769131,"[0.6478599221789884, 0.6245136186770428, 0.6147859922178989]",2
passive_ordered,27,465,0.6199740596627756,"[0.6147859922178989, 0.6167315175097277, 0.6284046692607004]",2
passive_ordered,28,475,0.625810635538262,"[0.6206225680933852, 0.6186770428015564, 0.6381322957198443]",2
passive_ordered,29,485,0.6309987029831388,"[0.632295719844358, 0.6284046692607004, 0.632295719844358]",2
passive_ordered,30,495,0.6400778210116731,"[0.6303501945525292, 0.6400778210116731, 0.6498054474708171]",2
passive_ordered,31,505,0.6355382619974059,"[0.632295719844358, 0.6361867704280155, 0.6381322957198443]",2
passive_ordered,32,515,0.6361867704280155,"[0.642023346303502, 0.6342412451361867, 0.632295719844358]",2
passive_ordered,33,525,0.6413748378728923,"[0.6517509727626459, 0.6342412451361867, 0.6381322957198443]",2
passive_ordered,34,535,0.6400778210116731,"[0.6361867704280155, 0.6381322957198443, 0.6459143968871596]",2
passive_ordered,35,545,0.632295719844358,"[0.6361867704280155, 0.6264591439688716, 0.6342412451361867]",2
passive_ordered,36,555,0.6173800259403373,"[0.6128404669260701, 0.6128404669260701, 0.6264591439688716]",2
