method,round,labels,pool_size,pct,avg_acc_top1,avg_acc_topk,acc_tuple_top1,acc_tuple_topk,top_k
passive_random,78,514,2055,25.012165450121653,0.5843060959792478,0.7295719844357976,"[0.5894941634241245, 0.6050583657587548, 0.5583657587548638]","[0.7276264591439688, 0.7315175097276264, 0.7295719844357976]",3
passive_random,79,519,2055,25.255474452554743,0.5992217898832685,0.7328145265888457,"[0.5894941634241245, 0.6070038910505836, 0.6011673151750972]","[0.7315175097276264, 0.7392996108949417, 0.7276264591439688]",3
passive_random,80,524,2055,25.498783454987834,0.6063553826199741,0.74189364461738,"[0.6147859922178989, 0.6070038910505836, 0.5972762645914397]","[0.7412451361867705, 0.745136186770428, 0.7392996108949417]",3
passive_random,81,529,2055,25.742092457420924,0.6212710765239948,0.745136186770428,"[0.6245136186770428, 0.603112840466926, 0.6361867704280155]","[0.7412451361867705, 0.745136186770428, 0.7490272373540856]",3
passive_random,82,534,2055,25.985401459854014,0.6297016861219196,0.7444876783398184,"[0.6381322957198443, 0.6108949416342413, 0.6400778210116731]","[0.7470817120622568, 0.7470817120622568, 0.7392996108949417]",3
passive_random,83,539,2055,26.228710462287104,0.6297016861219196,0.7542153047989624,"[0.6284046692607004, 0.622568093385214, 0.6381322957198443]","[0.7490272373540856, 0.754863813229572, 0.7587548638132295]",3
passive_random,84,544,2055,26.472019464720194,0.6381322957198443,0.7457846952010376,"[0.6342412451361867, 0.642023346303502, 0.6381322957198443]","[0.745136186770428, 0.7509727626459144, 0.7412451361867705]",3
passive_random,85,549,2055,26.715328467153284,0.6381322957198444,0.7535667963683528,"[0.6478599221789884, 0.6459143968871596, 0.6206225680933852]","[0.7431906614785992, 0.7587548638132295, 0.7587548638132295]",3
passive_random,86,554,2055,26.958637469586375,0.6374837872892347,0.7555123216601816,"[0.622568093385214, 0.6342412451361867, 0.6556420233463035]","[0.7529182879377432, 0.7587548638132295, 0.754863813229572]",3
passive_random,87,559,2055,27.201946472019465,0.6446173800259404,0.75810635538262,"[0.6459143968871596, 0.642023346303502, 0.6459143968871596]","[0.7568093385214008, 0.7665369649805448, 0.7509727626459144]",3
passive_random,88,564,2055,27.445255474452555,0.6459143968871595,0.7555123216601816,"[0.6400778210116731, 0.6478599221789884, 0.6498054474708171]","[0.7529182879377432, 0.7607003891050583, 0.7529182879377432]",3
passive_random,89,569,2055,27.688564476885645,0.6426718547341115,0.7626459143968871,"[0.642023346303502, 0.6342412451361867, 0.6517509727626459]","[0.7665369649805448, 0.7645914396887159, 0.7568093385214008]",3
passive_random,90,574,2055,27.931873479318735,0.6491569390402075,0.767833981841764,"[0.642023346303502, 0.6498054474708171, 0.6556420233463035]","[0.7684824902723736, 0.7684824902723736, 0.7665369649805448]",3
passive_random,91,579,2055,28.175182481751825,0.6536964980544747,0.7710765239948119,"[0.6614785992217899, 0.6595330739299611, 0.6400778210116731]","[0.7645914396887159, 0.7782101167315175, 0.7704280155642024]",3
passive_random,92,584,2055,28.418491484184916,0.6420233463035019,0.7697795071335927,"[0.6439688715953308, 0.6264591439688716, 0.6556420233463035]","[0.7704280155642024, 0.7645914396887159, 0.77431906614786]",3
passive_random,93,589,2055,28.661800486618006,0.6621271076523995,0.7684824902723735,"[0.6614785992217899, 0.6517509727626459, 0.6731517509727627]","[0.7665369649805448, 0.77431906614786, 0.7645914396887159]",3
passive_random,94,594,2055,28.905109489051096,0.6640726329442282,0.7658884565499351,"[0.6595330739299611, 0.6634241245136187, 0.669260700389105]","[0.77431906614786, 0.7626459143968871, 0.7607003891050583]",3
passive_random,95,599,2055,29.148418491484186,0.6582360570687419,0.7710765239948119,"[0.6595330739299611, 0.6478599221789884, 0.6673151750972762]","[0.754863813229572, 0.7782101167315175, 0.7801556420233463]",3
passive_random,96,604,2055,29.391727493917276,0.6601815823605707,0.7795071335927367,"[0.6575875486381323, 0.6634241245136187, 0.6595330739299611]","[0.7782101167315175, 0.7801556420233463, 0.7801556420233463]",3
