method,round,labels,pool_size,pct,avg_acc_top1,avg_acc_topk,acc_tuple_top1,acc_tuple_topk,top_k,added_labels
passive_random,6,287,2183,13.147045350435182,0.5397236614853195,0.6692573402417962,"[0.5440414507772021, 0.5310880829015544, 0.5440414507772021]","[0.6683937823834197, 0.6709844559585493, 0.6683937823834197]",3,"[138, 38, 5, 154, 146, 90]"
passive_random,7,293,2183,13.42189647274393,0.5509499136442142,0.6744386873920553,"[0.5595854922279793, 0.5569948186528497, 0.5362694300518135]","[0.6813471502590673, 0.6709844559585493, 0.6709844559585493]",3,"[103, 246, 180, 3, 160, 212]"
passive_random,8,299,2183,13.69674759505268,0.5474956822107081,0.683937823834197,"[0.5518134715025906, 0.5440414507772021, 0.5466321243523317]","[0.6865284974093264, 0.6787564766839378, 0.6865284974093264]",3,"[102, 33, 160, 111, 203, 231]"
passive_random,9,305,2183,13.971598717361429,0.5526770293609672,0.6778929188255614,"[0.5492227979274611, 0.5492227979274611, 0.5595854922279793]","[0.6761658031088082, 0.6813471502590673, 0.6761658031088082]",3,"[39, 61, 11, 187, 38, 208]"
passive_random,10,311,2183,14.246449839670179,0.5595854922279793,0.6813471502590674,"[0.5647668393782384, 0.5621761658031088, 0.5518134715025906]","[0.689119170984456, 0.6787564766839378, 0.6761658031088082]",3,"[203, 6, 109, 160, 11, 18]"
passive_random,11,317,2183,14.521300961978929,0.5552677029360967,0.6787564766839379,"[0.5544041450777202, 0.5621761658031088, 0.5492227979274611]","[0.6709844559585493, 0.6813471502590673, 0.6839378238341969]",3,"[103, 101, 65, 51, 103, 3]"
passive_random,12,323,2183,14.796152084287678,0.5639032815198618,0.6848013816925734,"[0.5569948186528497, 0.5699481865284974, 0.5647668393782384]","[0.6761658031088082, 0.6917098445595855, 0.6865284974093264]",3,"[77, 54, 222, 145, 3, 249]"
passive_random,13,329,2183,15.071003206596426,0.5552677029360967,0.687392055267703,"[0.5569948186528497, 0.5569948186528497, 0.5518134715025906]","[0.6839378238341969, 0.689119170984456, 0.689119170984456]",3,"[213, 240, 90, 231, 2, 212]"
passive_random,14,335,2183,15.345854328905176,0.5656303972366149,0.6925734024179621,"[0.5673575129533679, 0.5777202072538861, 0.5518134715025906]","[0.694300518134715, 0.6917098445595855, 0.6917098445595855]",3,"[248, 5, 20, 3, 251, 51]"
passive_random,15,341,2183,15.620705451213926,0.5526770293609672,0.6925734024179621,"[0.5569948186528497, 0.5544041450777202, 0.5466321243523317]","[0.6917098445595855, 0.6917098445595855, 0.694300518134715]",3,"[20, 3, 75, 213, 234, 20]"
passive_random,16,347,2183,15.895556573522676,0.5604490500863558,0.6908462867012091,"[0.5673575129533679, 0.5647668393782384, 0.5492227979274611]","[0.689119170984456, 0.694300518134715, 0.689119170984456]",3,"[3, 103, 3, 3, 231, 204]"
passive_random,17,353,2183,16.170407695831425,0.5664939550949913,0.7003454231433506,"[0.572538860103627, 0.5595854922279793, 0.5673575129533679]","[0.6994818652849741, 0.6968911917098446, 0.7046632124352331]",3,"[154, 203, 86, 88, 40, 90]"
passive_random,18,359,2183,16.445258818140175,0.5664939550949913,0.6977547495682211,"[0.572538860103627, 0.5751295336787565, 0.5518134715025906]","[0.6917098445595855, 0.6994818652849741, 0.7020725388601037]",3,"[175, 195, 6, 248, 72, 249]"
